W/N    s1 (IGS-EU0) s2 (EU0_MA1) s3 (IGS-MA1)  ro12       ro13        ro23
935    2,596610    0,965599    2,145316    -0,612691    -0,934592    0,291482
936    0,887390    2,081056    2,049584    -0,248404    -0,180742    -0,907806
937    1,988179    0,820859    2,567192    0,601652    -0,966835    -0,785703
938    1,805019    1,205345    0,860509    -0,912471    -0,819487    0,513281
939    0,846468    1,615648    2,127559    0,438611    -0,730935    -0,933895
940    0,771722    0,503638    0,718022    -0,429223    -0,773722    -0,240099
941    2,089695    2,451660    0,897969    -0,934091    0,223146    -0,556471
942    1,567983    1,306941    0,788609    -0,864887    -0,554934    0,062373
943    2,563294    0,810937    2,055770    -0,722073    -0,962042    0,505868
944    3,310949    1,091526    2,679108    -0,688463    -0,955345    0,443409
945    0,797516    1,150500    1,778264    0,655305    -0,872449    -0,940871
946    0,939932    0,806828    1,334687    0,162814    -0,802656    -0,719167
947    2,238657    0,651128    2,188208    -0,222035    -0,956986    -0,070408
948    1,270046    0,804551    1,512068    0,012738    -0,846717    -0,542785
949    0,854238    1,333437    1,846769    0,396278    -0,748685    -0,905339
950    0,940892    1,982493    2,526086    0,419650    -0,701815    -0,941115
951    3,067142    2,957171    1,521330    -0,873080    -0,318995    -0,183597
952    4,902882    2,696676    2,676737    -0,913112    -0,911750    0,665065
953    4,484123    2,288164    2,577035    -0,911364    -0,930826    0,697897
954    1,744316    1,312811    1,478926    -0,563087    -0,679608    -0,223547
955    2,588758    2,170253    1,577445    -0,794137    -0,548532    -0,072539
956    3,544264    0,891706    2,999398    -0,689865    -0,976565    0,517890
957    2,291258    1,394135    1,263208    -0,876208    -0,846817    0,485655
958    3,209015    1,138652    2,422264    -0,783665    -0,956417    0,568122
959    3,236618    1,523793    2,039982    -0,875530    -0,932602    0,642144
960    1,999583    0,955249    1,663330    -0,561271    -0,879819    0,100437
961    3,568535    1,375328    2,604457    -0,798994    -0,948242    0,566686
962    2,488752    0,800868    1,950783    -0,760029    -0,963751    0,559087
963    2,978698    1,796099    1,811690    -0,823956    -0,827289    0,363316
964    3,911433    1,121073    2,960527    -0,888413    -0,984776    0,795093
965    4,395278    1,141332    3,437982    -0,877249    -0,987220    0,789539
966    2,968492    0,737300    2,324567    -0,902819    -0,990655    0,835731
967    2,026354    1,188077    1,236539    -0,828384    -0,842812    0,396689
968    3,055028    1,482350    1,863763    -0,889558    -0,931659    0,662786
970    2,875109    2,162849    1,297433    -0,905441    -0,706608    0,339433
971    3,427787    1,968114    2,307626    -0,763240    -0,834469    0,280856
972    3,283143    1,141940    2,835685    -0,539048    -0,940719    0,221403
973    1,998541    0,970824    1,735175    -0,496289    -0,874108    0,012120
974    3,219364    1,230741    2,358348    -0,797186    -0,949069    0,566367
975    3,136789    1,021369    2,596445    -0,646277    -0,953882    0,387402
976    1,585262    0,766304    2,021276    0,405533    -0,938033    -0,697174
977    2,680148    0,424100    2,821544    0,263078    -0,989430    -0,400202
978    2,830342    0,672991    2,756130    -0,227715    -0,971323    -0,010333
979    3,573417    0,633553    3,529184    -0,158033    -0,984164    -0,019505
980    4,069125    0,748239    3,415630    -0,895187    -0,995222    0,847396
981    4,675067    1,271646    3,499881    -0,943996    -0,992788    0,897630
982    2,614782    1,168332    1,828364    -0,795298    -0,921922    0,498368
983    1,266393    1,395827    1,486747    -0,379503    -0,495493    -0,615591
984    2,118143    1,185444    2,817332    0,407329    -0,923217    -0,727008
985    2,379163    0,725144    2,813583    0,501381    -0,974820    -0,681697
986    2,204383    0,775761    2,595616    0,373116    -0,960786    -0,615750
987    1,853413    0,801128    1,609002    -0,501089    -0,902408    0,079302
988    2,278401    0,531377    2,298520    -0,078582    -0,973080    -0,153287
989    1,032863    0,643018    1,076130    -0,242583    -0,814844    -0,364699
990    1,051388    1,028146    0,476970    -0,895021    -0,275019    -0,182676
991    2,353990    0,822211    1,668713    -0,886783    -0,973725    0,758230
992    1,224810    0,810154    0,751295    -0,802222    -0,765194    0,229490
993    1,549193    1,832381    0,413464    -0,984014    0,614070    -0,744810
994    0,924791    0,814745    0,294392    -0,950524    -0,510733    0,218386
995    1,629052    1,578577    0,389138    -0,971053    -0,247137    0,008527
996    1,036478    0,732900    0,639196    -0,791734    -0,713733    0,137226
997    2,359084    1,914709    4,133132    0,869101    -0,973393    -0,959319
998    1,232826    0,670717    1,260732    -0,229948    -0,855532    -0,307148
999    1,393681    0,582566    1,316186    -0,338327    -0,909129    -0,084369
1000    2,555713    0,594138    2,742140    0,208986    -0,977295    -0,411447
1001    1,809972    0,894800    2,386909    0,500341    -0,945858    -0,754282
1002    4,257441    0,488257    4,077248    -0,418585    -0,994068    0,317333
1003    2,672140    1,028591    3,391116    0,600561    -0,970144    -0,776551
1004    2,330832    1,497034    3,645652    0,804865    -0,969852    -0,925223
1005    4,307229    0,910433    5,029137    0,753690    -0,992897    -0,826534
1006    2,576868    1,304787    3,739413    0,838794    -0,981789    -0,926950
1007    2,840231    1,277681    3,984120    0,850645    -0,985684    -0,927108
1008    2,881293    0,821246    2,864987    -0,162313    -0,959165    -0,123412
1009    3,638359    0,827013    4,082468    0,456126    -0,983616    -0,609083
1010    3,977824    1,037685    4,832618    0,781825    -0,990997    -0,858261
1011    3,717675    1,384571    4,912757    0,815660    -0,986618    -0,899074
1012    2,478575    1,519625    1,120846    -0,955302    -0,916160    0,756716
1013    3,311726    0,618940    3,451105    0,136481    -0,984091    -0,310314
1014    3,304281    0,587314    2,922286    -0,701686    -0,989695    0,592431
1015    3,711693    1,078579    4,670237    0,858169    -0,992947    -0,912981
1016    4,234645    1,074278    5,193408    0,866659    -0,994661    -0,913518
1017    4,031377    0,949210    4,807806    0,779016    -0,992308    -0,850641
1018    4,374814    0,589067    4,735821    0,570806    -0,994771    -0,651679
1019    3,703842    1,138469    4,727167    0,869346    -0,992892    -0,921987
1020    3,585495    1,146201    4,564330    0,810711    -0,989134    -0,887973
1021    4,491461    1,151762    5,570597    0,921284    -0,996762    -0,949570
1022    3,647424    1,758998    5,203204    0,831972    -0,982253    -0,921270
1023    4,228646    1,199213    5,058568    0,618172    -0,982485    -0,753819
1024    1,707207    1,580366    3,155190    0,841937    -0,962787    -0,956433
1025    2,293566    1,555992    3,641032    0,781159    -0,963750    -0,919419
1026    3,220524    1,593877    4,680646    0,876292    -0,986451    -0,943459
1027    3,708324    0,911226    4,452640    0,775941    -0,991632    -0,850881
1028    5,120623    0,427915    4,937082    -0,463016    -0,997045    0,393555
1029    6,122899    0,507171    5,995517    -0,289965    -0,996718    0,211534
1030    3,221439    0,993982    4,117807    0,872982    -0,993045    -0,924337
1031    3,158709    0,581760    3,229362    0,030716    -0,983655    -0,210191
1032    2,322092    0,595632    2,120325    -0,452281    -0,968106    0,214404
1033    3,560602    0,574069    3,727987    0,217816    -0,988642    -0,362025
1034    1,638597    1,139591    2,714467    0,906285    -0,984131    -0,966903
1035    0,924302    1,133431    1,703819    0,364632    -0,785052    -0,863038
1036    2,246553    0,301662    2,014448    -0,796813    -0,995898    0,738873
1037    1,104184    0,562336    0,730677    -0,806506    -0,890484    0,449165
1038    2,726332    0,353868    2,551710    -0,542564    -0,993192    0,441015
1039    2,921130    0,665332    2,614638    -0,550376    -0,977171    0,360427
1040    2,666729    0,743266    2,101137    -0,819618    -0,979248    0,686501
1041    1,509435    0,752445    0,982752    -0,827091    -0,902664    0,504701
1042    0,958271    0,696601    0,773879    -0,602702    -0,695752    -0,153834
1043    1,348044    1,173196    0,749259    -0,832181    -0,496133    -0,068573
1044    2,352815    0,845686    1,596408    -0,930373    -0,980960    0,841458
1045    0,638357    0,543906    0,703562    -0,300014    -0,675389    -0,500865
1046    1,423253    0,433440    1,354758    -0,306493    -0,952499    0,002050
1047    1,261099    0,526343    1,236857    -0,254299    -0,911383    -0,166266
1048    1,757076    0,609493    1,390477    -0,712174    -0,951480    0,461605
1049    1,111514    0,766244    1,217313    -0,200038    -0,787173    -0,446803
1050    2,193910    0,684890    2,685231    0,641610    -0,980676    -0,779272
1051    1,469032    0,390157    1,426437    -0,240386    -0,964111    -0,025954
1052    0,878287    0,686780    1,055278    -0,107300    -0,762450    -0,561501
1053    0,751665    1,284091    1,259409    -0,325204    -0,265262    -0,825503
1054    0,572357    1,202929    1,149315    -0,329485    -0,153144    -0,882565
1055    0,526255    1,016530    1,332187    0,434097    -0,726271    -0,934535
