W/N    s1 (IGS-EU0) s2 (EU0_MA1) s3 (IGS-MA1)  ro12       ro13        ro23
935    0,003550    0,001136    0,002671    -0,838095    -0,972698    0,688610
936    0,001257    0,001817    0,001131    -0,788482    0,155327    -0,730066
937    0,003627    0,000929    0,003924    0,204677    -0,972804    -0,425836
938    0,003469    0,001166    0,002434    -0,923497    -0,982974    0,837287
939    0,002811    0,000620    0,002849    -0,048885    -0,976067    -0,169496
940    0,004401    0,000768    0,004040    -0,538874    -0,987093    0,397010
941    0,003123    0,001108    0,003356    0,040772    -0,943996    -0,368170
942    0,001317    0,000547    0,000964    -0,766264    -0,931251    0,479462
943    0,001498    0,001788    0,002089    -0,200805    -0,545220    -0,711735
944    0,002717    0,001847    0,004379    0,835007    -0,972681    -0,939931
945    0,002442    0,001043    0,002158    -0,469669    -0,904410    0,048096
946    0,001713    0,001418    0,001567    -0,512326    -0,629641    -0,344602
947    0,004301    0,001581    0,003009    -0,878127    -0,967897    0,729683
948    0,005424    0,005352    0,001524    -0,960086    -0,187460    -0,094768
949    0,003044    0,005056    0,002894    -0,859363    0,449509    -0,843082
950    0,002001    0,006229    0,005186    -0,638301    0,380791    -0,954851
951    0,004986    0,006741    0,002622    -0,943472    0,523616    -0,776398
952    0,007242    0,006370    0,002102    -0,960361    -0,535155    0,278459
953    0,007679    0,005613    0,002550    -0,974098    -0,867308    0,732282
954    0,004948    0,004890    0,001673    -0,942222    -0,203601    -0,136136
955    0,007006    0,005771    0,002059    -0,966444    -0,693892    0,485637
956    0,007499    0,004163    0,003468    -0,985616    -0,979208    0,930839
957    0,005697    0,004269    0,001862    -0,970716    -0,834571    0,677788
958    0,006615    0,004373    0,002772    -0,954073    -0,881295    0,699249
959    0,006617    0,004577    0,002400    -0,973580    -0,900244    0,777041
960    0,006059    0,003685    0,002718    -0,960685    -0,926455    0,785525
961    0,007255    0,003560    0,003908    -0,968738    -0,974129    0,887611
962    0,005358    0,003842    0,001955    -0,963001    -0,848271    0,674171
963    0,006276    0,005096    0,002084    -0,953847    -0,678943    0,427135
964    0,008292    0,005045    0,003365    -0,990608    -0,978767    0,941548
965    0,008996    0,005240    0,003921    -0,986555    -0,975863    0,927052
966    0,007381    0,004691    0,002921    -0,981284    -0,950974    0,873620
967    0,006656    0,004351    0,002524    -0,981718    -0,944606    0,864867
968    0,005167    0,000444    0,005183    -0,005751    -0,996323    -0,079949
970    0,005482    0,002025    0,003700    -0,921742    -0,977205    0,818402
971    0,005435    0,001363    0,004793    -0,569221    -0,972295    0,361259
972    0,006168    0,000760    0,005550    -0,834344    -0,997149    0,790367
973    0,005674    0,004867    0,001704    -0,959180    -0,589600    0,337119
974    0,007784    0,005353    0,002829    -0,974863    -0,906795    0,790071
975    0,007831    0,004866    0,003340    -0,969028    -0,933033    0,815284
976    0,004311    0,003126    0,001826    -0,928336    -0,771498    0,479694
977    0,005555    0,002480    0,003296    -0,948847    -0,971375    0,846682
978    0,002759    0,001032    0,002228    -0,651606    -0,936280    0,343638
979    0,004106    0,000939    0,003908    -0,320492    -0,973756    0,096493
980    0,006638    0,003975    0,002768    -0,989121    -0,977433    0,935725
981    0,006084    0,001057    0,005099    -0,943561    -0,997642    0,918602
982    0,006985    0,003994    0,003180    -0,979128    -0,966875    0,894815
983    0,004548    0,004683    0,001484    -0,948764    -0,070745    -0,248075
984    0,002400    0,005027    0,003357    -0,819131    0,511873    -0,912055
985    0,001431    0,005390    0,004760    -0,547162    0,318926    -0,967821
986    0,001169    0,005900    0,005612    -0,339907    0,149039    -0,980615
987    0,001509    0,000695    0,001584    -0,119589    -0,900179    -0,324743
988    0,002218    0,001023    0,001253    -0,968989    -0,979444    0,899226
989    0,001224    0,001323    0,000516    -0,920876    -0,010121    -0,380516
990    0,002449    0,001963    0,000667    -0,978321    -0,792654    0,649212
991    0,004997    0,002330    0,002702    -0,991748    -0,993869    0,971494
992    0,003158    0,002381    0,000861    -0,990840    -0,927604    0,868659
993    0,001884    0,003846    0,002149    -0,946918    0,817997    -0,959496
994    0,003023    0,003714    0,000779    -0,994189    0,858463    -0,908686
995    0,001179    0,000742    0,001032    -0,500182    -0,782679    -0,147489
996    0,003449    0,004194    0,000783    -0,998003    0,941069    -0,960555
997    0,001253    0,001806    0,001768    -0,376896    -0,323843    -0,754286
998    0,002115    0,001017    0,001595    -0,688938    -0,886779    0,275928
999    0,002975    0,001376    0,001925    -0,859635    -0,930939    0,613698
1000    0,003294    0,005757    0,002722    -0,964635    0,830129    -0,947741
1001    0,001711    0,005418    0,004833    -0,481213    0,185431    -0,950633
1002    0,003926    0,005539    0,001810    -0,984586    0,844596    -0,925220
1003    0,002059    0,003980    0,002199    -0,930335    0,747878    -0,939213
1004    0,001277    0,001574    0,000686    -0,904881    0,214362    -0,609741
1005    0,005402    0,005017    0,000719    -0,993193    -0,582252    0,483592
1006    0,001675    0,007949    0,007492    -0,370438    0,169419    -0,978189
1007    0,002383    0,007884    0,006027    -0,838537    0,701468    -0,976518
1008    0,002859    0,005769    0,003394    -0,907495    0,700127    -0,935294
1009    0,001993    0,007319    0,006349    -0,590849    0,367269    -0,967400
1010    0,002477    0,007359    0,005388    -0,857291    0,711082    -0,971587
1011    0,002168    0,006882    0,005009    -0,903642    0,808599    -0,982672
1012    0,005637    0,004359    0,001340    -0,996741    -0,964935    0,940617
1013    0,005353    0,004905    0,000725    -0,993799    -0,659187    0,571483
1014    0,005240    0,005258    0,000825    -0,987669    -0,056604    -0,100401
1015    0,004457    0,005124    0,001177    -0,979409    0,477051    -0,644662
1016    0,005523    0,005280    0,000792    -0,990263    -0,371937    0,239095
1017    0,005010    0,005190    0,000549    -0,994821    0,278271    -0,374454
1018    0,002780    0,002157    0,001088    -0,933533    -0,703418    0,401856
1019    0,001872    0,001122    0,001003    -0,894095    -0,865442    0,549397
1020    0,003877    0,003805    0,000718    -0,982719    -0,192216    0,007242
1021    0,003397    0,001292    0,002344    -0,878759    -0,964809    0,722338
1022    0,003522    0,000988    0,002719    -0,860197    -0,982689    0,750830
1023    0,004345    0,001619    0,002760    -0,986943    -0,995529    0,967316
1024    0,001496    0,000708    0,001354    -0,427794    -0,881151    -0,050434
1025    0,002077    0,001061    0,001406    -0,785819    -0,884233    0,405999
1026    0,003259    0,003145    0,000922    -0,959141    -0,263179    -0,020529
1027    0,003070    0,003461    0,001055    -0,954870    0,222840    -0,502338
1028    0,003083    0,001607    0,002614    -0,530383    -0,853448    0,010821
1029    0,004390    0,001319    0,003446    -0,788878    -0,971922    0,622122
1030    0,002577    0,000998    0,002386    -0,378512    -0,922076    -0,009197
1031    0,002351    0,000981    0,001542    -0,891897    -0,957726    0,724093
1032    0,004435    0,004781    0,000674    -0,992126    0,458296    -0,566005
1033    0,006063    0,004637    0,001847    -0,975503    -0,833667    0,691755
1034    0,004422    0,003356    0,001133    -0,994971    -0,954994    0,920482
1035    0,002948    0,002868    0,000648    -0,975559    -0,231854    0,012437
1036    0,003508    0,004190    0,001089    -0,975454    0,531683    -0,705132
1037    0,002075    0,003396    0,001530    -0,957650    0,769307    -0,920683
1038    0,001983    0,000596    0,001536    -0,816302    -0,974550    0,666040
1039    0,002053    0,000406    0,001788    -0,709334    -0,987101    0,587334
1040    0,003935    0,001110    0,002881    -0,963573    -0,994680    0,930896
1041    0,001906    0,001326    0,001119    -0,818663    -0,733165    0,209679
1042    0,001611    0,000710    0,001716    -0,067979    -0,910768    -0,350049
1043    0,001427    0,000397    0,001433    -0,124000    -0,961544    -0,153300
1044    0,001306    0,002379    0,001244    -0,936257    0,740815    -0,929575
1045    0,004410    0,004022    0,000950    -0,978805    -0,498347    0,310235
1046    0,001821    0,000987    0,001094    -0,860581    -0,888206    0,530372
1047    0,001633    0,001006    0,000801    -0,924554    -0,877852    0,629125
1048    0,003099    0,003304    0,001017    -0,951495    0,043575    -0,348833
1049    0,003685    0,003166    0,001024    -0,966570    -0,610108    0,386561
1050    0,001844    0,002895    0,001468    -0,901613    0,521803    -0,839452
1051    0,002691    0,002371    0,000746    -0,964375    -0,541610    0,299934
1052    0,003298    0,002548    0,001097    -0,961847    -0,772207    0,568916
1053    0,003571    0,003607    0,001197    -0,944382    -0,137559    -0,195817
1054    0,002729    0,001442    0,001549    -0,905928    -0,919048    0,665698
1055    0,004370    0,003465    0,001272    -0,973634    -0,783423    0,620996
1056    0,005615    0,003514    0,002221    -0,986973    -0,967056    0,913501
1057    0,006285    0,003787    0,002603    -0,988759    -0,976049    0,932548
1058    0,004790    0,002801    0,002239    -0,960629    -0,937629    0,804129
1059    0,004754    0,003105    0,001877    -0,972751    -0,923497    0,809394
1060    0,004488    0,003350    0,001463    -0,971953    -0,842592    0,692305
1061    0,004457    0,002983    0,001689    -0,974459    -0,918013    0,805515
1062    0,006487    0,004418    0,002258    -0,985775    -0,944380    0,875675
1063    0,005316    0,003081    0,002329    -0,986873    -0,976907    0,929577
1064    0,005149    0,002962    0,002327    -0,979220    -0,966104    0,893674
1065    0,005891    0,002788    0,003198    -0,981643    -0,986078    0,936261
1066    0,004624    0,002131    0,002585    -0,976162    -0,983856    0,921560
